"e513","e513"
"513","513"
"sulphuric","sulphuric"
"e514","e514"
"514","514"
"sulphates","sulphates"
"sulphate","sulphate"
"e515","e515"
"515","515"
"e516","e516"
"516","516"
"e517","e517"
"517","517"
"e518","e518"
"518","518"
"epsom","epsom"
"e519","e519"
"519","519"
"e520","e520"
"520","520"
"e521","e521"
"521","521"
"e522","e522"
"522","522"
"e523","e523"
"523","523"
"e524","e524"
"524","524"
"hydroxide","hydroxide"
"e525","e525"
"525","525"
"e526","e526"
"526","526"
"e527","e527"
"527","527"
"e528","e528"
"528","528"
"e529","e529"
"529","529"
"oxide","oxide"
"e530","e530"
"530","530"
"e535","e535"
"535","535"
"ferrocyanide","ferrocyanide"
"e536","e536"
"536","536"
"e537","e537"
"537","537"
"hexacyanomanganate","hexacyanomanganate"
"e538","e538"
"538","538"
"e539","e539"
"539","539"
"thiosulphate","thiosulphate"
"e540","e540"
"540","540"
"e541","e541"
"541","541"
"acidic","acidic"
"basic","basic"
"e542","e542"
"542","542"
"bone","bone"
"essentiale","essentiale"
"tribasic","tribasic"
"e543","e543"
"543","543"
"e544","e544"
"544","544"
"e545","e545"
"545","545"
"e550","e550"
"550","550"
"silicates","silicates"
"silicate","silicate"
"metasilicate","metasilicate"
"e551","e551"
"551","551"
"silicon","silicon"
"silica","silica"
"e552","e552"
"552","552"
"e553","e553"
"e553a","e553a"
"553","553"
"553a","553a"
"trisilicate","trisilicate"
"e553b","e553b"
"553b","553b"
"talc","talc"
"e554","e554"
"554","554"
"aluminosilicate","aluminosilicate"
"e555","e555"
"555","555"
"e556","e556"
"556","556"
"e557","e557"
"557","557"
"zinc","zinc"
"e558","e558"
"558","558"
"bentonite","bentonite"
"e559","e559"
"559","559"
"kaolin","kaolin"
"e560","e560"
"560","560"
"e561","e561"
"561","561"
"vermiculite","vermiculite"
"e562","e562"
"562","562"
"sepiolite","sepiolite"
"e563","e563"
"563","563"
"sepiolitic","sepiolitic"
"clay","clay"
"e565","e565"
"565","565"
"lignosulphonates","lignosulphonates"
"e566","e566"
"566","566"
"natrolite","natrolite"
"phonolite","phonolite"
"e570","e570"
"570","570"
"e572","e572"
"572","572"
"e574","e574"
"574","574"
"gluconic","gluconic"
